long_name,age,height_cm,weight_kg,nationality,league_rank,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,real_face,release_clause_eur,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,num_traits,Atk_effort,Def_effort,player_versatility
Wojciech Szczęsny,30,195,90,14,1.0,87,87,34000000,105000,1,3,3,1,0,Yes,34000000,86.0,82.0,73.0,88.0,49.0,87.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,13,12,86,82,73,87,88,34,34,34,28,31,31,31,28,35,35,35,34,36,36,36,34,31,34,34,34,31,31,32,32,32,31,1,1,1,1
Keylor Navas Gamboa,33,185,80,999,1.0,87,87,27000000,110000,1,3,3,1,1,Yes,27000000,90.0,81.0,75.0,90.0,53.0,82.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,14,14,90,81,75,82,90,35,35,35,31,33,33,33,31,38,38,38,36,38,38,38,36,32,36,36,36,32,32,34,34,34,32,2,1,1,1
Yann Sommer,31,183,79,30,1.0,86,86,28500000,55000,1,3,4,1,1,Yes,28500000,80.0,86.0,85.0,85.0,51.0,87.0,13,13,10,40,8,15,12,13,31,25,48,54,55,84,58,64,73,45,68,12,38,21,15,64,24,57,19,12,80,86,85,87,85,36,36,36,32,34,34,34,32,39,39,39,37,40,40,40,37,34,37,37,37,34,33,32,32,32,33,1,1,1,1
Bernd Leno,28,190,82,1,1.0,85,87,33500000,105000,1,3,3,1,1,Yes,33500000,85.0,83.0,80.0,86.0,56.0,84.0,9,9,13,50,10,16,9,8,48,35,55,56,52,81,44,60,73,43,70,14,28,25,7,56,23,66,15,18,85,83,80,84,86,36,36,36,33,35,35,35,33,41,41,41,39,43,43,43,39,37,42,42,42,37,36,36,36,36,36,1,1,1,1
Péter Gulácsi,30,191,86,999,1.0,85,85,26000000,65000,1,2,2,1,1,Yes,26000000,84.0,85.0,82.0,86.0,43.0,84.0,16,10,23,35,10,19,18,11,31,25,42,44,41,82,42,62,67,35,74,12,34,23,11,42,24,45,16,20,84,85,82,84,86,34,34,34,29,31,31,31,29,33,33,33,33,34,34,34,33,33,35,35,35,33,32,35,35,35,32,0,1,1,1
André Onana,24,190,93,999,1.0,84,88,30000000,18000,1,3,3,1,2,Yes,30000000,84.0,80.0,87.0,86.0,63.0,82.0,15,12,20,33,13,26,30,17,32,38,64,62,68,84,53,65,80,39,78,17,32,15,11,64,27,61,18,14,84,80,87,82,86,39,39,39,37,38,38,38,37,43,43,43,41,41,41,41,41,35,36,36,36,35,34,34,34,34,34,3,1,1,1
Roman Bürki,29,187,85,30,1.0,84,85,25000000,67000,1,3,2,1,1,Yes,25000000,85.0,82.0,72.0,88.0,47.0,82.0,15,8,17,37,13,12,13,12,24,23,44,50,49,82,52,54,74,36,75,14,35,18,10,50,20,58,13,16,85,82,72,82,88,33,33,33,28,30,30,30,28,35,35,35,33,35,35,35,33,31,33,33,33,31,31,32,32,32,31,1,1,1,1
Kasper Schmeichel,33,189,89,24,1.0,84,84,17000000,90000,1,2,3,1,2,Yes,17000000,82.0,77.0,83.0,89.0,54.0,79.0,18,12,16,44,15,12,13,15,46,40,50,58,61,81,47,62,60,34,64,14,35,20,13,59,26,67,14,13,82,77,83,79,89,36,36,36,34,36,36,36,34,41,41,41,38,41,41,41,38,34,38,38,38,34,33,32,32,32,33,1,1,1,1
Salvatore Sirigu,33,192,80,8,1.0,84,84,17000000,54000,1,3,2,1,1,Yes,17000000,84.0,80.0,76.0,82.0,51.0,84.0,13,10,11,23,12,15,11,11,28,18,50,51,52,79,55,57,68,34,66,14,34,20,10,55,19,62,11,13,84,80,76,84,82,32,32,32,28,29,29,29,28,33,33,33,32,33,33,33,32,29,31,31,31,29,29,30,30,30,29,3,1,1,1
Rui Pedro dos Santos Patrício,32,190,84,15,1.0,84,84,19000000,90000,0,3,2,1,1,Yes,19000000,84.0,80.0,77.0,83.0,55.0,82.0,12,12,11,34,16,20,10,16,32,25,53,57,61,79,54,58,79,45,77,11,37,23,13,64,32,66,13,11,84,80,77,82,83,35,35,35,32,34,34,34,32,39,39,39,37,38,38,38,37,33,36,36,36,33,32,33,33,33,32,2,1,1,1
Thomas Strakosha,25,193,78,999,1.0,83,88,25500000,57000,1,1,2,1,0,No,25500000,86.0,79.0,75.0,88.0,44.0,81.0,18,18,11,26,11,14,14,12,22,15,41,46,45,78,47,56,56,23,66,14,20,24,18,49,21,61,18,12,86,79,75,81,88,32,32,32,28,30,30,30,28,31,31,31,30,30,30,30,30,29,30,30,30,29,28,30,30,30,28,2,1,1,1
Pau López Sabata,25,189,77,2,1.0,83,88,25500000,52000,0,1,3,1,0,Yes,25500000,82.0,83.0,79.0,84.0,49.0,82.0,24,19,15,38,17,18,23,21,41,16,45,52,40,74,57,59,71,42,52,18,39,16,20,62,25,62,20,11,82,83,79,82,84,34,34,34,31,33,33,33,31,37,37,37,36,38,38,38,36,32,34,34,34,32,31,30,30,30,31,0,1,1,1
Koen Casteels,28,197,86,25,1.0,83,85,22500000,53000,0,2,2,1,1,Yes,22500000,83.0,80.0,80.0,84.0,45.0,83.0,15,15,14,35,13,14,20,13,37,23,44,46,50,82,43,60,58,44,72,18,33,16,15,42,20,40,19,17,83,80,80,83,84,34,34,34,29,31,31,31,29,34,34,34,33,35,35,35,33,31,34,34,34,31,31,31,31,31,31,1,1,1,1
Anthony Lopes,29,184,81,15,1.0,83,85,22000000,69000,0,2,2,1,1,Yes,22000000,85.0,80.0,74.0,86.0,64.0,80.0,19,18,16,32,13,15,15,14,31,21,63,64,67,83,62,56,82,36,73,18,43,25,9,48,16,65,15,13,85,80,74,80,86,35,35,35,32,33,33,33,32,35,35,35,35,34,34,34,35,33,34,34,34,33,33,33,33,33,33,2,1,1,1
Steve Mandanda,35,185,82,3,1.0,83,83,7000000,28000,1,3,3,1,1,Yes,7000000,81.0,81.0,78.0,84.0,48.0,81.0,14,13,13,46,13,19,13,12,36,27,53,43,52,82,36,59,74,31,61,7,37,23,11,55,11,64,15,13,81,81,78,81,84,35,35,35,32,34,34,34,32,39,39,39,37,39,39,39,37,33,37,37,37,33,32,32,32,32,32,2,1,1,1
Kevin Trapp,29,189,88,1,1.0,83,83,18500000,35000,1,2,4,1,1,Yes,18500000,82.0,78.0,79.0,85.0,49.0,83.0,13,13,11,25,12,10,14,12,12,24,45,52,42,82,37,59,75,45,73,13,30,22,12,46,17,62,14,10,82,78,79,83,85,32,32,32,27,30,30,30,27,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,1,1,1
Lukáš Hrádecký,30,192,82,999,1.0,83,83,17500000,63000,1,2,3,1,0,Yes,17500000,85.0,78.0,69.0,87.0,41.0,83.0,11,11,11,30,9,10,11,15,33,20,38,44,43,82,39,52,69,34,55,14,31,18,9,53,20,48,10,13,85,78,69,83,87,29,29,29,26,29,29,29,26,32,32,32,30,33,33,33,30,28,30,30,30,28,27,27,27,27,27,2,1,1,1
Aitor Fernández Abarisketa,29,182,78,2,1.0,83,83,18500000,31000,1,1,2,1,1,No,18500000,84.0,78.0,74.0,86.0,55.0,81.0,30,12,20,38,15,22,34,14,35,14,58,53,70,83,48,56,82,42,48,12,15,24,15,48,24,55,13,12,84,78,74,81,86,33,33,33,33,32,32,32,33,36,36,36,36,35,35,35,36,34,32,32,32,34,33,28,28,28,33,0,1,1,1
Martin Dúbravka,31,190,80,999,1.0,83,83,16500000,47000,1,1,2,1,0,Yes,16500000,79.0,80.0,81.0,86.0,46.0,82.0,12,10,12,48,11,19,15,13,45,35,49,44,47,77,60,61,75,40,60,17,28,25,12,55,20,59,15,14,79,80,81,82,86,34,34,34,32,35,35,35,32,40,40,40,37,42,42,42,37,34,38,38,38,34,32,32,32,32,32,2,1,1,1
Kepa Arrizabalaga Revuelta,25,186,88,2,1.0,82,86,21000000,76000,1,2,4,1,0,Yes,21000000,81.0,82.0,85.0,82.0,33.0,79.0,25,11,18,51,18,10,25,19,52,33,34,33,41,73,39,64,71,37,51,14,18,21,15,57,24,63,18,16,81,82,85,79,82,33,33,33,30,33,33,33,30,38,38,38,36,42,42,42,36,33,38,38,38,33,32,31,31,31,32,2,1,1,1
Mike Maignan,24,191,91,3,1.0,82,86,21500000,31000,1,1,3,1,1,No,21500000,80.0,80.0,82.0,83.0,46.0,82.0,18,13,17,36,16,22,14,16,27,24,47,46,39,80,55,62,72,39,78,20,17,24,14,50,15,55,12,19,80,80,82,82,83,35,35,35,31,33,33,33,31,36,36,36,35,35,35,35,35,32,33,33,33,32,32,32,32,32,32,0,1,1,1
Gerónimo Rulli,28,189,84,4,1.0,82,85,20000000,35000,1,3,3,1,1,Yes,20000000,85.0,78.0,77.0,88.0,54.0,78.0,12,15,12,32,16,14,19,20,23,15,56,52,58,76,50,58,65,42,73,17,26,21,12,58,24,61,13,17,85,78,77,78,88,34,34,34,29,31,31,31,29,35,35,35,33,34,34,34,33,32,32,32,32,32,31,31,31,31,31,1,1,1,1
Mattia Perin,27,188,77,8,1.0,82,84,18500000,20000,1,2,3,1,0,Yes,18500000,82.0,82.0,71.0,87.0,56.0,79.0,11,11,12,33,19,19,15,13,31,23,57,56,70,77,30,53,75,30,52,17,25,19,12,44,21,65,12,19,82,82,71,79,87,32,32,32,31,32,32,32,31,35,35,35,33,33,33,33,33,31,31,31,31,31,31,29,29,29,31,2,1,1,1
Fernando Pacheco Flores,28,186,81,2,1.0,82,84,19500000,28000,0,1,2,1,1,Yes,19500000,81.0,79.0,71.0,84.0,45.0,83.0,14,16,10,28,13,13,20,20,29,15,48,42,62,78,53,53,73,43,75,15,29,26,14,53,23,62,16,13,81,79,71,83,84,32,32,32,28,29,29,29,28,33,33,33,31,33,33,33,31,30,33,33,33,30,30,31,31,31,30,1,1,1,1
David Soria Solís,27,192,85,2,1.0,82,84,18500000,30000,1,1,3,1,0,Yes,18500000,83.0,81.0,72.0,84.0,41.0,81.0,15,19,24,24,19,16,23,11,33,19,49,34,49,80,42,54,61,43,75,18,24,18,12,45,23,58,13,13,83,81,72,81,84,34,34,34,28,30,30,30,28,32,32,32,31,32,32,32,31,29,31,31,31,29,29,31,31,31,29,1,1,1,1
